Nazwa;Podkategoria;Kategoria g³owna;;Kalorie;Tluszcz;Bialko;Weglowodany
Barszcz czerwony zabielany;Zupy;Zupy;Potrawy;33;1,4;2,1;3,4
Barszcz ukrainski mrozony;Zupy;Zupy;Potrawy;28;0,2;1,6;7,1
Barszcz ukrainski z biala fasola;Zupy;Zupy;Potrawy;54;2,7;2,2;6,6
Barszcz ukrainski z fasolka szparagowa;Zupy;Zupy;Potrawy;36;0,6;1,9;6,9
Befsztyk bity wiejski smazony;Potrawy z wolowiny;Potrawy miesne;Potrawy;258;19,6;19,4;1,6
Befsztyk tatarski;Potrawy z wolowiny;Potrawy miesne;Potrawy;195;12,3;18,4;3,4
Bigos popularny;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;119;9,9;5,1;3,8
Bitki wieprzowe duszone;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;195;16,1;10,4;2,6
Bitki wieprzowe w jarzynach duszone;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;200;16,1;10,7;4,3
Bitki wolowe duszone;Potrawy z wolowiny;Potrawy miesne;Potrawy;103;4,4;13,6;2,3
Bitki wolowe w jarzynach duszone;Potrawy z wolowiny;Potrawy miesne;Potrawy;117;4,5;14,3;6,6
Bliny ziemniaczane;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;257;16,3;5,7;23,4
Boeuf Strogonow duszony;Potrawy z wolowiny;Potrawy miesne;Potrawy;220;14,3;19,6;3,7
Brukselka z wody;Warzywa gotowane;Potrawy z warzyw;Potrawy;110;7,1;4,2;12
Bryzol wolowy z poledwicy smazony;Potrawy z wolowiny;Potrawy miesne;Potrawy;253;16,6;24,7;1,4
Budyn z miesa i makaronu;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;172;4,4;10,7;23
Buraki gotowane;Warzywa gotowane;Potrawy z warzyw;Potrawy;71;3,5;1,6;10
Buraki z jablkami;Warzywa gotowane;Potrawy z warzyw;Potrawy;70;3,3;1,5;10,3
Buraki zasmazane;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;5,5;1,6;8,6
Buraki ze smietana;Warzywa gotowane;Potrawy z warzyw;Potrawy;66;3,4;1,8;8,8
Ciasto nalesnikowe bez piany;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;174;4,2;6,2;28,3
Ciasto nalesnikowe biszkoptowe;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;187;5,9;8,5;25,5
Cielecina w potrawce;Potrawy z cieleciny;Potrawy miesne;Potrawy;104;4,1;13,5;3,9
Cwikla;Warzywa gotowane;Potrawy z warzyw;Potrawy;40;0,1;1,6;10,2
Dorsz pulpety;Potrawy rybne;Potrawy rybne;Potrawy;112;2,6;14,3;8,7
Dorsz swiezy;Potrawy rybne;Potrawy rybne;Potrawy;78;0,7;17,7;0
Dorsz w jarzynach;Potrawy rybne;Potrawy rybne;Potrawy;120;5,2;15,6;3,9
Dorsz z rusztu;Potrawy rybne;Potrawy rybne;Potrawy;172;9,1;22,1;0,6
Dorsz, filety panierowane smazone;Potrawy rybne;Potrawy rybne;Potrawy;273;15,8;19,2;14,5
Dorsz, filety po grecku;Potrawy rybne;Potrawy rybne;Potrawy;152;10,8;10,6;4,6
Dorsz, kotlet mielony smazony;Potrawy rybne;Potrawy rybne;Potrawy;260;17,8;15;10,9
Dynia z pomidorami;Warzywa gotowane;Potrawy z warzyw;Potrawy;44;2,4;1,2;6,5
Fasola po bretonsku;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;141;6,6;8;15,9
Fasola szparagowa gotowana, z maslem;Warzywa gotowane;Potrawy z warzyw;Potrawy;97;6,9;2,9;10,3
Galaretka z nozek wieprzowych;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;202;14,9;16,9;0,8
Golabki z miesem i ryzem w sosie pomidorowym;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;108;6,7;3,6;10
Groszek zielony gotowany, z maslem;Warzywa gotowane;Potrawy z warzyw;Potrawy;100;6,8;3,7;9,3
Gruszki w sosie waniliowym;Desery;Desery;Potrawy;152;1,1;1,6;34,8
Gulasz wolowy duszony;Potrawy z wolowiny;Potrawy miesne;Potrawy;148;9,2;14,1;2,6
Jablka pieczone;Desery;Desery;Potrawy;93;1,6;0,3;20,8
Jablka w kruchym ciescie;Desery;Desery;Potrawy;348;17,4;4,4;45
Jaja gotowane;Potrawy z jaj;Potrawy z jaj;Potrawy;109;7,6;9,8;0,5
Jaja gotowane;Potrawy z jaj;Potrawy z jaj;Potrawy;109;7,6;9,8;0,5
Jaja gotowane;Potrawy z jaj;Potrawy z jaj;Potrawy;109;7,6;9,8;0,5
Jaja sadzone;Potrawy z jaj;Potrawy z jaj;Potrawy;168;14,2;9,9;0,6
Jaja sadzone;Potrawy z jaj;Potrawy z jaj;Potrawy;168;14,2;9,9;0,6
Jajecznica;Potrawy z jaj;Potrawy z jaj;Potrawy;119;8,7;9,8;0,5
Kalafior gotowany, z maslem;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;6,8;2;5,5
Kapusniak mrozony;Zupy;Zupy;Potrawy;35;0,2;1,4;9
Kapusniak z kwaszonej kapusty;Zupy;Zupy;Potrawy;22;1,2;1,5;1,7
Kapusniak ze slodkiej kapusty;Zupy;Zupy;Potrawy;32;2,1;0,7;3,2
Kapusta biala gotowana, zasmazana;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,7;1,6;7,1
Karp w galarecie z warzywami;Potrawy rybne;Potrawy rybne;Potrawy;137;2,9;26,1;2,1
Karp z wody;Potrawy rybne;Potrawy rybne;Potrawy;102;3,7;16;2
Kasza gryczana na sypko z tluszczem roslinnym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;132;2,3;4,5;25
Kasza gryczana na sypko ze smalcem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;2,9;4,8;25
Kasza jeczmienna na mleku;Zupy mleczne;Zupy;Potrawy;63;2,2;2,6;8,5
Kasza manna na mleku;Zupy mleczne;Zupy;Potrawy;67;2,1;2,7;9,3
Kasza perlowa na sypko z tluszczem roslinnym;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;114;2;2,2;23,6
Kasza perlowa na sypko ze smalcem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;119;2,5;2,2;23,6
Kisiel porzeczkowy;Desery;Desery;Potrawy;98;0,1;0,3;25,7
Kisiel waniliowy (budyn);Desery;Desery;Potrawy;121;4,5;3,3;16,6
Klopsiki cielece mielone duszone;Potrawy z cieleciny;Potrawy miesne;Potrawy;250;14,6;16,3;14,2
Klopsiki mielone z miesa mieszanego duszone;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;272;17,5;13,7;15,7
Kluski kladzione;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;165;1,3;5,5;33,3
Kluski lane;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;93;2;4,3;14,8
Kluski lane na mleku;Zupy mleczne;Zupy;Potrawy;69;3,1;3,6;6,8
Kluski slaskie;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;169;3,8;2,6;32,1
Knedle ze sliwkami;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;162;5,9;2,8;25,7
Kompot z jablek;Desery;Desery;Potrawy;51;0,1;0,2;13,2
Kompot z wisni;Desery;Desery;Potrawy;69;0,1;0,2;16,9
Kopytka;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;0,7;4,2;32,1
Kopytka z maslem;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;151;1,5;3,8;31,6
Kotlet cielecy panierowany smazony;Potrawy z cieleciny;Potrawy miesne;Potrawy;364;21,3;27,1;17,4
Kotlet mielony z kury, smazony;Potrawy drobiowe;Potrawy miesne;Potrawy;382;27,8;20;14,2
Kotlet mielony z miesa mieszanego smazony;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;285;21,1;13,1;11,7
Kotlet schabowy panierowany smazony;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;351;24,1;19,1;15,9
Kotlety z jaj, smazone;Potrawy z jaj;Potrawy z jaj;Potrawy;276;22,8;8,1;10,8
Kotlety z kurczaka panierowane smazone;Potrawy drobiowe;Potrawy miesne;Potrawy;249;15,8;19,8;7,6
Kotlety z kurczaka saute smazone;Potrawy drobiowe;Potrawy miesne;Potrawy;241;16,5;20,3;3,2
Kotlety ziemniaczane;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;12,8;4,4;29,3
Krem z zielonego groszku;Zupy;Zupy;Potrawy;64;3,8;3,1;5,9
Krupnik z kaszy gryczanej;Zupy;Zupy;Potrawy;43;1,2;1,7;7,2
Krupnik z kaszy jeczmiennej;Zupy;Zupy;Potrawy;40;0,9;1,5;7,4
Krupnik z ryzu;Zupy;Zupy;Potrawy;43;1,1;1,5;7,6
Kulebiak;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;222;12,7;7,8;19,9
Kura w galarecie;Potrawy drobiowe;Potrawy miesne;Potrawy;192;8,8;27,3;1,2
Kurczak w jarzynach gotowany;Potrawy drobiowe;Potrawy miesne;Potrawy;99;6,4;7,6;4,6
Kurczeta pieczone;Potrawy drobiowe;Potrawy miesne;Potrawy;179;12,7;16,4;0,1
Lazanki z biala kapusta;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;6,9;3,7;18,9
Leniwe pierogi z sera twarogowego;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;13,9;14,6;15
Leniwe pierogi z sera twarogowego i ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;220;10,1;12,9;20
Losos saute smazony;Potrawy rybne;Potrawy rybne;Potrawy;380;31,4;21,2;4
Losos z rusztu;Potrawy rybne;Potrawy rybne;Potrawy;283;22,3;20,7;0,6
Makaron gotowany;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;108;0,7;3,5;22,1
Makaron na mleku;Zupy mleczne;Zupy;Potrawy;65;2,2;2,9;8,6
