0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Cost;Prep t;id
Agrest;;;;;;;;;;;;41;0,2;0,8;11,8;11;80;1
Ananas;75;;Y;;Y;;;Y;owoce swieze;owoce i przetwory owocowe;Produkty;54;0,2;0,4;13,6;9;90;2
Ananas plastry w syropie;;;;;;;;;inne przetwory;owoce i przetwory owocowe;Produkty;84;0,1;0,4;21;13;50;3
Arbuz;75;;Y;;Y;;Y;Y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,1;0,6;8,4;16;100;4
Awokado;50;;Y;;Y;;;Y;owoce swieze;owoce i przetwory owocowe;Produkty;160;15,3;2;7,4;7;40;5
Babeczki z kremem smietankowym;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;437;20,4;8,1;56,1;8;10;6
Babka biszkoptowa;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;341;4,2;8,5;67,1;17;20;7
Babka drozdzowa luksusowa;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;368;13,4;8;55,1;14;90;8
Bagietki francuskie;;;;;;;;;;;;283;1,7;8,7;59,2;27;70;9
Baklazan;;;;;;;;;;;;21;0,1;1,1;6,3;30;20;10
Baleron gotowany;100;;Y;Y;Y;Y;;Y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;244;20,2;15,1;0,9;14;60;11
Banan;60;Y;Y;;Y;Y;;Y;owoce swieze;owoce swieze;Produkty;95;0,3;1;23,5;9;40;12
Banany suszone;;;;;;;;;;;;360;1,1;3,8;88,8;23;50;13
Baranina lopatka;;;;;;;;;Baranina;Mieso i przetwory miesne;Produkty;284;25;15,6;0;16;70;14
Baranina udziec;;;;;;;;;Baranina;Mieso i przetwory miesne;Produkty;232;18;18;0;26;60;15
Barszcz czerwony zabielany;200;;;Y;;Y;;Y;Zupy;Zupy;Potrawy;33;1,4;2,1;3,4;23;40;16
Barszcz ukrainski mrozony;200;;;Y;;Y;;Y;Zupy;Zupy;Potrawy;28;0,2;1,6;7,1;29;60;17
Barszcz ukrainski z biala fasola;200;;;Y;;Y;;Y;Zupy;Zupy;Potrawy;54;2,7;2,2;6,6;12;80;18
Barszcz ukrainski z fasolka szparagowa;200;;;Y;;Y;;Y;Zupy;Zupy;Potrawy;36;0,6;1,9;6,9;11;80;19
Barszcz z bocwina;200;;;Y;;;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;29;1,7;1,5;2,5;35;100;20
"Baton ""Bounty Milk""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;448;25,2;4,2;56,7;23;60;21
"Baton ""Mars""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;451;18,2;3,6;68,9;23;10;22
"Baton ""Milky Way""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;448;16,2;3,6;71,8;24;100;23
"Baton ""Snickers""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;497;28,9;9,7;52,6;14;10;24
"Baton ""Twix""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;483;23,2;5,3;64,2;20;70;25
Baton szynkowy z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;143;9,3;14,9;0,1;25;80;26
Baton z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;144;8,6;16,7;0,1;31;10;27
Befsztyk bity wiejski smazony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;258;19,6;19,4;1,6;19;10;28
Befsztyk tatarski;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;195;12,3;18,4;3,4;12;60;29
"Bezy z kremem ""Sokoly""";50;;Y;;Y;;Y;Y;slodycze;Desery;Produkty;444;19,6;7,1;60,8;8;80;30
Bialko jaja kurzego;;;;;;;;;Jaja;Mleko i przetwory mleczne;Produkty;49;0,2;10,9;0,7;8;60;31
Bigos popularny;150;;;Y;;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;119;9,9;5,1;3,8;10;20;32
Bitki wieprzowe duszone;150;;;Y;;;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;195;16,1;10,4;2,6;31;40;33
Bitki wieprzowe w jarzynach duszone;150;;;Y;;;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;200;16,1;10,7;4,3;26;70;34
Bitki wolowe duszone;150;;;Y;;;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;103;4,4;13,6;2,3;15;100;35
Bitki wolowe w jarzynach duszone;150;;;Y;;;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;117;4,5;14,3;6,6;24;80;36
Bliny ziemniaczane;200;;;Y;;;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;257;16,3;5,7;23,4;5;10;37
Bob;;;;;;;;;;;;66;0,4;7,1;14;8;80;38
Bob mrozony;;;;;;;;;;;;63;0,4;6,8;13,4;26;30;39
Bocwina;;;;;;;;;;;;17;0,5;2,1;5,5;28;20;40
Boeuf Strogonow duszony;200;;;;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;220;14,3;19,6;3,7;8;50;41
Brokuly;150;Y;Y;Y;Y;Y;Y;Y;Warzywa gotowane;warzywa i przetwory warzywne;Potrawy;27;0,4;3;5,2;8;40;42
Brokuly mrozone;;;;;;;;;;;;24;0,4;2,7;4,7;27;80;43
Brukselka;;;;;;;;;;;;37;0,5;4,7;8,7;33;10;44
Brukselka mrozona;;;;;;;;;;;;36;0,5;4,5;8,4;16;60;45
Brukselka z wody;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;110;7,1;4,2;12;5;50;46
Bryzol wolowy z poledwicy smazony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;253;16,6;24,7;1,4;8;20;47
Brzoskwinia;;;;;;;;;;;;46;0,2;1;11,9;31;80;48
Brzoskwinia w syropie;;;;;;;;;;;;73;0,1;0,4;18,2;35;10;49
