0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Agrest;;;;;;;;;;;;41;0,2;0,8;11,8;3;0;2;230;20;26;10;0,5;0,09;0,19;0,05;27;0;0,58;0,041;0,028;0,18;0,01;12;0;25,9
Ananas;75;;Y;;Y;;;Y;owoce swieze;owoce i przetwory owocowe;Produkty;54;0,2;0,4;13,6;1,2;0;1;220;17;12;15;0,3;0,24;0,07;0,5;7;0;0,1;0,09;0,04;0,4;0,09;11;0;15
Ananas plastry w syropie;;;;;;;;;inne przetwory;owoce i przetwory owocowe;Produkty;84;0,1;0,4;21;1;0;1;105;14;7;11;0,2;0,1;0,02;0,5;3;0;0,06;0,07;0,02;0,3;0,07;5;0;8
Arbuz;75;;Y;;Y;;Y;Y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,1;0,6;8,4;0,3;0;1;130;6;9;2;0,2;0,07;0,06;0,02;38;0;0,1;0,08;0,02;0,2;0,14;3;0;10
Awokado;50;;Y;;Y;;;Y;owoce swieze;owoce i przetwory owocowe;Produkty;160;15,3;2;7,4;3,3;0;10;600;11;41;39;1;0,4;0,18;0,19;7;0;1,3;0,11;0,12;1,9;0,28;62;0;8
Babeczki z kremem smietankowym;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;437;20,4;8,1;56,1;1,1;62;65;124;58;95;11;0,9;0,67;0,06;0,14;185;1,39;3,78;0,061;0,173;0,49;0,03;19,1;0,36;0,1
Babka biszkoptowa;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;341;4,2;8,5;67,1;0,8;138;56;92;26;105;8;1,3;0,89;0,06;0,11;105;0,65;0,43;0,052;0,227;0,36;0,04;22,5;0,55;0
Babka drozdzowa luksusowa;50;Y;;Y;;Y;Y;Y;Wypieki;Desery;Produkty;368;13,4;8;55,1;1,8;82;174;189;41;108;15;1,4;0,83;0,09;0,19;142;1,04;2,42;0,092;0,227;0,87;0,07;56,2;0,37;0,1
Bagietki francuskie;;;;;;;;;;;;283;1,7;8,7;59,2;2;0;710;124;17;81;22;1,2;0,8;0,1;0,35;0;0;0,43;0,115;0,074;0,98;0,05;39,6;0;0
Baklazan;;;;;;;;;;;;21;0,1;1,1;6,3;2,5;0;2;305;18;33;16;0,6;0,2;0,01;0,1;7;0;0;0,09;0,02;0,6;0,09;18;0;2
Baleron gotowany;100;;Y;Y;Y;Y;;Y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;244;20,2;15,1;0,9;0;58;749;312;17;176;16;1,3;2,77;0,09;0,06;0;0,56;0,35;0,51;0,224;3,26;0,23;1,3;0,5;0
Banan;60;Y;Y;;Y;Y;;Y;owoce swieze;owoce swieze;Produkty;95;0,3;1;23,5;1,7;0;1;395;6;20;33;0,4;0,18;0,1;0,42;8;0;0,27;0,04;0,1;0,5;0,36;22;0;9
Banany suszone;;;;;;;;;;;;360;1,1;3,8;88,8;6,4;0;4;1493;23;76;125;1,5;0,68;0,38;1,59;30;0;1,02;0,15;0,378;1,89;0,28;15;0;0,2
